Portfolio,Alpha,Adj_R2,Beta_Mkt-RF,t_Mkt-RF,p_Mkt-RF,Beta_SMB,t_SMB,p_SMB,Beta_HML,t_HML,p_HML,Beta_INV,t_INV,p_INV
SMALL LoPRIOR,-0.9226,0.7971,1.1875,35.5098,0.0,1.2807,27.0304,0.0,0.4951,8.2947,0.0,-0.1769,-2.4978,0.0127
ME1 PRIOR2,-0.1709,0.9018,0.9313,55.7377,0.0,0.9759,41.2266,0.0,0.4887,16.3887,0.0,0.0034,0.0961,0.9235
ME1 PRIOR3,0.0881,0.9157,0.8778,61.6211,0.0,0.8891,44.0521,0.0,0.4463,17.5523,0.0,0.0452,1.499,0.1343
ME1 PRIOR4,0.2576,0.9074,0.8706,57.7253,0.0,0.9216,43.1342,0.0,0.3578,13.2914,0.0,0.0655,2.0513,0.0406
SMALL HiPRIOR,0.4477,0.8797,0.9775,46.5443,0.0,1.1771,39.5593,0.0,0.1216,3.2435,0.0012,0.0278,0.6254,0.5319
ME2 PRIOR1,-0.8019,0.819,1.2948,42.3801,0.0,0.9935,22.9524,0.0,0.4326,7.9325,0.0,-0.1893,-2.925,0.0035
ME2 PRIOR2,-0.158,0.8933,1.0415,59.2257,0.0,0.7813,31.3584,0.0,0.4016,12.7952,0.0,0.0171,0.4585,0.6467
ME2 PRIOR3,0.0595,0.9225,0.9612,71.6871,0.0,0.693,36.4779,0.0,0.3663,15.3046,0.0,0.0642,2.2606,0.0241
ME2 PRIOR4,0.2059,0.9307,0.964,74.418,0.0,0.7552,41.1511,0.0,0.3223,13.9418,0.0,0.0618,2.2534,0.0245
ME2 PRIOR5,0.3994,0.8909,1.0761,53.9551,0.0,0.9752,34.5146,0.0,0.0316,0.8886,0.3745,-0.0119,-0.2811,0.7787
ME3 PRIOR1,-0.66,0.7569,1.2992,38.6077,0.0,0.6556,13.7517,0.0,0.3965,6.6022,0.0,-0.1341,-1.8811,0.0604
ME3 PRIOR2,-0.2,0.8717,1.0835,58.973,0.0,0.4872,18.718,0.0,0.3979,12.1331,0.0,0.0087,0.2235,0.8232
ME3 PRIOR3,-0.0452,0.9062,0.9938,70.0502,0.0,0.4677,23.2672,0.0,0.3723,14.7019,0.0,0.0386,1.2857,0.1989
ME3 PRIOR4,0.0204,0.8989,0.9796,67.367,0.0,0.4598,22.3163,0.0,0.3124,12.0383,0.0,0.0556,1.806,0.0713
ME3 PRIOR5,0.4241,0.8669,1.0495,51.3432,0.0,0.7355,25.3983,0.0,-0.0512,-1.4043,0.1607,-0.0056,-0.1285,0.8978
ME4 PRIOR1,-0.6654,0.7076,1.3386,36.464,0.0,0.3887,7.4737,0.0,0.4448,6.789,0.0,-0.116,-1.4921,0.1361
ME4 PRIOR2,-0.1696,0.842,1.1488,57.0689,0.0,0.1943,6.8127,0.0,0.31,8.6276,0.0,0.0978,2.2949,0.022
ME4 PRIOR3,-0.0536,0.8902,1.0331,70.5046,0.0,0.1712,8.2445,0.0,0.2829,10.8172,0.0,0.0983,3.1674,0.0016
ME4 PRIOR4,0.1051,0.8898,1.0058,70.4517,0.0,0.1626,8.0385,0.0,0.1427,5.5995,0.0,0.128,4.2329,0.0
ME4 PRIOR5,0.3721,0.8161,1.0196,45.7494,0.0,0.4461,14.1269,0.0,-0.0832,-2.0925,0.0367,-0.0359,-0.7611,0.4468
BIG LoPRIOR,-0.5187,0.6606,1.2898,34.86,0.0,-0.052,-0.9912,0.3219,0.3544,5.3674,0.0,-0.2003,-2.5566,0.0108
ME5 PRIOR2,-0.0947,0.7699,1.0217,47.6767,0.0,-0.1854,-6.106,0.0,0.2264,5.9197,0.0,-0.0033,-0.0717,0.9429
ME5 PRIOR3,-0.0718,0.8823,0.9699,71.4241,0.0,-0.1984,-10.3128,0.0,0.1226,5.0579,0.0,0.0208,0.7247,0.4689
ME5 PRIOR4,0.0736,0.8701,0.9524,67.7265,0.0,-0.224,-11.2414,0.0,-0.0306,-1.2177,0.2237,0.1079,3.622,0.0003
BIG HiPRIOR,0.32,0.7728,0.9765,44.0305,0.0,-0.0376,-1.1978,0.2314,-0.2042,-5.1584,0.0,-0.0456,-0.9716,0.3316
